reaction,rba,pfba,weighted pfba
HACD1,0.5998796224594116,18.89566336052257,50.319917580386424
HACD2,0.5998796224594116,18.895663360522633,50.31991761900504
HACD3,0.5998796224594116,18.895663360522654,50.31991754272866
HACD4,0.600208044052124,18.892830456840702,50.319917595272315
HACD5,0.6015849113464355,18.891778265795246,50.319917528444314
HACD6,0.6029677391052246,18.890764754522575,50.31991760696661
HACD7,0.6067115068435669,18.887335590977052,50.44961128090782
HACD8,0.6086182594299316,18.885761947522585,50.40863408817816
ICHORS_copy1,0.6086182594299316,18.885472401795298,50.319917365267706
IDOND,0.6086182594299316,18.885472401795408,50.319917642342055
INDOLEt2rpp,0.6086182594299316,18.885472401795344,50.31991740502124
IPDDI,0.6086182594299316,18.88547240179542,50.32086151429826
LDH_D,0.6086182594299316,18.885472401795337,50.31991761028984
MDH,0.6081050634384155,18.901453258742457,50.31991751644287
MG2t3_2pp,0.6086128950119019,18.885488157522435,50.319917285837946
MOX,,18.88547587252267,50.319917124445766
MTHFC,0.5918389558792114,18.90562381972716,50.44727295511428
MTHFD,0.5918389558792114,18.905623819727293,50.447273206601594
NDPK1,0.6039267778396606,18.886225057340834,50.33421310174247
NDPK3,0.6001245975494385,18.888111776386253,50.45991153436751
NDPK5,0.6086182594299316,18.885472401795415,50.31991743352894
NDPK7,0.6086182594299316,18.885472401795408,50.319917458590304
NDPK8,0.6086182594299316,18.885472401795408,50.31991750225714
PGI,0.6086182594299316,19.19353338093872,50.70440466681556
PGK,0.3531080484390259,21.170001047740676,52.33657440274502
PGM,0.41160523891448975,20.590508232929277,52.27366667659342
PIt2rpp,0.6049996614456177,18.88905455679546,50.31991759346245
POR5,0.6083053350448608,18.885487055431675,50.32341473521288
PPK2,0.6086182594299316,18.885473476249945,50.31991760394596
PPK,0.6086182594299316,18.902750517431492,50.36863557086222
PPM,0.606648325920105,18.885480716795414,50.33551171461994
PRPPS,0.6086182594299316,18.886377379795253,50.319917594905256
PTAr,0.6085842847824097,18.920507226233923,50.33246658827922
PUNP1,0.6085866689682007,18.885480716795286,50.32131709529462
PUNP2,0.6086182594299316,18.885472401795273,50.31991757098298
PUNP3,0.6086182594299316,18.88547240179532,50.319917650535594
PUNP5,0.6086182594299316,18.885472401795376,50.319917689710074
PUNP7,0.6086182594299316,18.885472401795298,50.319917708020796
PYNP2r,0.6086182594299316,18.885472401795344,50.31991770920893
RPE,0.6012362241744995,18.885487835567886,51.283717608238796
RPI,0.0,19.41679479524952,663.3958145548693
SUCOAS,0.6086182594299316,18.89607670083321,50.328177705606116
TALA,0.6054776906967163,18.885472401795415,50.37082618747878
THRt2rpp,0.6086182594299316,18.885472401795415,50.31991751584404
TKT1,0.5989927053451538,18.885502041795387,50.36294331392593
TKT2,0.6030827760696411,18.88631573534088,52.05145800969457
