reaction,rba,pfba,weighted pfba
POR5,0.6083053350448608,18.885487055431675,0.00015432538457038844
PPK2,0.6086182594299316,18.885473476249945,0.00015431026091875232
PPK,0.6086182594299316,18.902750517431492,0.00015435873373764348
PPM,0.606648325920105,18.885480716795414,0.0001548853972956
PRPPS,0.6086182594299316,18.886377379795253,0.00015473819597505245
PTAr,0.6085842847824097,18.920507226233923,0.0001544486842580893
PUNP1,0.6085866689682007,18.885480716795286,0.0001543102607826463
PUNP2,0.6086182594299316,18.885472401795273,0.000154310260729869
PUNP3,0.6086182594299316,18.88547240179532,0.0001543102608430712
PUNP5,0.6086182594299316,18.885472401795376,0.00015431026066698778
PUNP7,0.6086182594299316,18.885472401795298,0.0001543102606770002
PYNP2r,0.6086182594299316,18.885472401795344,0.0001543102606822866
